Location,Coordinates
"Off Bremerton, Washington","(47.5653663, -122.6246836)"
"Cerro del Carbon, Mexico","(20.4044622, -97.2892457)"
"Near Godstone, Surrey, England","(51.221863, -0.0565382)"
"Off Corsica, France","(42.1880896, 9.0684138)"
"Terranova Pausania, East Sardinia","(53.7835074, -1.5356348)"
"Vancouver, Washington","(45.6306954, -122.6744557)"
"Chagrin Falls, Ohio","(41.436589, -81.3855058)"
"Near Berlin, Germany","(52.510885, 13.3989367)"
"Amarillo, Texas","(35.20729, -101.8371192)"
"Off Venice, California","(33.995044, -118.4668875)"
"Brawnson, Nebraska",
"Antananarivo, Madagascar","(-18.9100122, 47.5255809)"
"Oceanside, California","(33.1958696, -117.379483)"
"Off Ceuta, Spain","(35.888361, -5.304138)"
"Kansas City, Missouri","(39.100105, -94.5781416)"
"Hartford, Connecticut","(41.764582, -72.6908547)"
"Marden, England","(51.1768381, 0.5031825)"
"Jersey City, New Jersey","(40.7215682, -74.047455)"
"Buenos Aires, Argentina","(-33.3657998, -60.19955)"
"Boston, Massachusetts","(42.3554334, -71.060511)"
"Bornholm, Denmark","(55.1431224, 14.9226297)"
"Arkansas Pass, Texas","(27.6455368, -98.0841975)"
"Near Meopham, Kent, England","(51.3601629, 0.3639095)"
"Iglau, Czechoslovakia",
"Croydon, England","(51.3713049, -0.101957)"
"Edmonton, Alberta, Canada","(53.5462055, -113.491241)"
"Near Beauvais, France","(49.4300997, 2.0823355)"
"Dresden, Germany","(51.0493286, 13.7381437)"
"La Rache, Morocco","(44.891661, 6.0459071)"
"Perth, Australia","(-31.9558933, 115.8605855)"
"Prince Rupert, BC, Canada","(54.3126572, -130.32549)"
"Brookston, Indiana","(40.6028144, -86.8672339)"
"Near Neufchatel, France","(50.6188491, 1.6306156)"
"Off of Santos, Brazil","(-23.9335988, -46.3286399)"
"Techachapi Mountains, California","(37.7384411, -119.5776371)"
"Shanghai, China","(31.2312707, 121.4700152)"
"Melle, Belgium","(51.00303, 3.7988833)"
"Bluff Mountain, Washington","(45.7422174, -122.1909475)"
"Wairoa, New Zealand","(-39.03939, 177.4271389)"
"Bagot, Manitoba, Canada","(49.968373, -98.6290814)"
Off Spain,"(10.6481503, -61.5086277)"
"New South Wales, Australia","(-31.8759835, 147.2869493)"
"Bazaar, Kansas","(38.2719604, -96.5352854)"
"Near Letschen, Germany","(49.1635031, 7.1228272)"
"Burbank, California","(34.1812089, -118.307201)"
"Wampit, Australia",
"Bellefonte, Pennsylvania","(40.9134862, -77.7737471)"
"Near Sandoway, Burma","(18.4664443, 94.3668616)"
"Walbridge, Ohio","(41.5795195, -83.4924359)"
"Saarbrucken, Germany","(49.234362, 6.996379)"
"Temora, Australia","(-34.3830356, 147.468586)"
"Centralia, Illinois","(38.5250491, -89.1334037)"
"Kurudjevo, Bulgaria",
"Cincinnati, Ohio","(39.1014537, -84.5124602)"
"Near Craiova, Oltenia, Romania","(44.4491118, 23.8688248)"
"Oakland, California","(37.8044557, -122.271356)"
"Novia Scotia, Canada","(59.1047554, -3.2402406)"
Brazil,"(-10.3333333, -53.2)"
"Camden, New Jersey","(39.9448402, -75.1198911)"
"Sir Lowry's pass, South Africa","(-34.1176801, 18.910297)"
"Salt Lake City, Utah","(40.7596198, -111.886797)"
"Near Tsinan, China","(36.6519754, 117.1138479)"
"Pasco, Washington","(46.2306739, -119.0921)"
"Kewanee, Illinois","(41.2455927, -89.9248303)"
"Bangkok, Thailand","(13.7524938, 100.4935089)"
Off Algiers,
"Springfield, Ohio","(39.9234046, -83.810138)"
"Colvin Park, Ilinois","(42.1380804, -88.7834283)"
"Lebec, California","(34.8416435, -118.8648189)"
"Off Miami, Florida","(25.7741728, -80.19362)"
"Rio Vista, California","(38.1557502, -121.6913439)"
"Marcellus, Michigan","(42.0258779, -85.8155576)"
"Off Setiba, Brazil","(-20.6304829, -40.4378932)"
"Saint Louis, Illinois","(38.5854443, -90.2235963)"
"Calimesa, California","(34.0039044, -117.0619774)"
"Steubenville, Ohio","(40.3600714, -80.6151034)"
"Rutbah Wells, Iraq","(40.7013353, -85.2116102)"
"Bedford, Ohio","(41.39311, -81.536509)"
"Fort Wayne, Indiana","(41.0799898, -85.1386015)"
"Portland, Oregon","(45.5202471, -122.674194)"
"Mount El Plomo, near Vitacura, Chile","(-33.3802063, -70.5657837)"
"Beyrouth, Lebanon","(33.8892265, 35.5025585)"
"Tubergen, Germany",
"Salt Flats, Texas","(32.6335098, -97.078292)"
"Selsdon Park, England","(51.3352577, -0.0640895)"
"Byron Bay, Australia","(-28.6483333, 153.6177778)"
"Port Etienne, Mauritania","(20.9127045, -17.0503094)"
"Villa Monte, Bolivia","(-33.690004, -71.0355002)"
"Ramsgate, England","(51.3334726, 1.4196476)"
"Echterpfuhl, Germany",
"Marianna, Arkansas","(34.7737082, -90.7576112)"
"Rocky Ridge, Colorado","(37.2297036, -108.6227644)"
"Wau, Australia","(-37.5078701, 149.9265151)"
"Marietta, Georgia","(33.9528472, -84.5496148)"
